問題ID,問題文,選択肢,正解,解説,正答率,テーマ,画像URL
118D73,52歳の男性。両足底の痛みを主訴に来院した。5年前に2型糖尿病と診断されたがそのままにしていた。3か月前から自宅近くの診療所でスルホニル尿素薬を内服している。1か月前から足底に針で刺すような痛みを入眠時に自覚し、睡眠が十分とれなくなっている。職業は会社員。喫煙歴はなく、飲酒は機会飲酒。化学物質の曝露歴はない。意識は清明。身長176cm、体重56kg。体温36.3℃。脈拍82/分、整。血圧128/78mmHg。呼吸数18/分。SpO2 96％（room air）。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝・脾を触知しない。尿所見：蛋白（－）、糖＋、ケトン体（－）。血液生化学所見：総蛋白7.5g/dL、アルブミン3.9g/dL、尿素窒素12mg/dL、クレアチニン0.6mg/dL、空腹時血糖162mg/dL、HbA1c 7.8％（基準4.9～6.0）。この患者に認められる可能性の高い所見はどれか。2つ選べ。,"ａ: 両側握力低下
ｂ: 両側腓腹筋萎縮
ｃ: 両側下肢振動覚低下
ｄ: 両側アキレス腱反射消失
ｅ: 両側上腕二頭筋腱反射消失","c,d",【ポイント】2型糖尿病と診断されている中年男性にみられた、両足底の針で刺すような痛み。スルホニル尿素薬を内服中とのことだが、空腹時血糖162mg/dL、HbA1c 7.8％とコントロールは不良のようだ。糖尿病性ニューロパチーが考えやすい。本問が難しいのは、選択肢のいずれも可能性はありうる、という点だ。ゆえに頻度が高いTop 2を選出せねばならない。一般に糖尿病による神経障害では感覚神経と自律神経が障害されやすい（末期には運動神経も障害されうる）。ゆえに「両側下肢振動覚低下」は紛れもなく正解。もう1つを選ばねばならないが、これらはすべて運動系の選択肢なので少し悩ましい。ゆえに病棟実習や国試過去問などで見たことがありそうなものを選んでいくしかない。本稿執筆時点の過去5年分の国試過去問で言えば、113A59 、 114A29 、 114E47 、 116D62 、 117F41 、 118D46 、 118F46 などで「両側アキレス腱反射の消失（ないし低下）」の記載がある（平均して1年に1問以上出ている）。これがもう1つの正解だ。とはいえ、蓋を開けてみると正答率は93％とかなり高め。あまり深く考えずとも、イメージが湧きやすい問題だったのかもしれない。,93%,糖尿病性ニューロパチーの症候,
118D74,72歳の女性。右膝痛を主訴に来院した。3か月前から右膝関節の痛みを自覚した。安静時痛はないが、歩行開始時や階段昇降時に右膝痛が強くなる。身長152cm、体重67kg。体温36.3℃。右膝関節に軽度の腫脹を認めるが、熱感や発赤はない。右膝内側に圧痛を認める。右膝エックス線写真を別に示す。保存療法で適切なのはどれか。3つ選べ。,"ａ: 運動療法
ｂ: 減量指導
ｃ: ギプス固定
ｄ: 装具の作成
ｅ: グルココルチコイド内服","a,b,d",【ポイント】高齢女性（BMI≒29と肥満あり）の右膝痛。画像では関節裂隙狭小化と骨硬化像がみられ、変形性膝関節症の診断となる。【選択肢考察】ａ　正しい。変形性膝関節症では大腿四頭筋の強化を行うことで、関節の安定化が見込める。ｂ　正しい。肥満により膝関節に過剰な負荷がかかるのが問題であるため、減量指導が重要である。ｃ　骨折等への対応である。ｄ　正しい。足底板の使用などが推奨されている。ｅ　膠原病などの治療である。,82%,変形性膝関節症の保存療法,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/4146/118D-74.jpg
118D75,"生後1時間の男児。在胎37週、4,000gで出生した。巨大児のために血糖の測定をおこなった。血液生化学所見：血糖25mg/dL。10％ブドウ糖液を用いて末梢静脈より輸液を開始することとした。糖の投与速度を4mg/kg/分とする。1時間あたりの10％ブドウ糖液投与量を求めよ。ただし、小数点以下の数値が得られた場合には、小数第2位を四捨五入すること。解答：① . ② mL/時間",,96,【ポイント】「1時間あたりのブドウ糖投与量（Aとする）＝糖の投与速度（4mg/kg/分）×児の体重4kg×1時間あたりに補正するための60」という関係が成り立つ。計算し、A＝4×4×60＝960mg＝0.96g。今、要求されている数値をXとすると、10％ブドウ糖液100mL中には10gのブドウ糖が含まれるため、100mL：10g＝X：A となる。Aに0.96gを代入し、比の計算を行うと、X＝9.6mLと算出される。,85%,ブドウ糖液投与量の算出《計算問題》,
118E1,褥瘡ができやすい部位はどこか。,"ａ: 耳介
ｂ: 手掌
ｃ: 臍
ｄ: 外陰部
ｅ: 踵部",e,【選択肢考察】ａ　側臥位の患者などにおいて、耳介を下にして長期臥床した場合に褥瘡がみられることがある。が、他により好発の部位が選択肢にあるため、正答はそちらに譲る。ｂ　手掌は褥瘡の好発部位ではない。ｃ　臍は褥瘡の好発部位ではない。ｄ　外陰部は褥瘡の好発部位ではない。ｅ　正しい。仰臥位にて長期臥床しているようなケースで踵部は体圧を受けやすい。加えて踵部は骨が突出する構造になっているため、褥瘡の好発部位となる。,94%,褥瘡ができやすい部位,
118E2,メタ分析〈メタアナリシス〉で正しいのはどれか。,"ａ: エビデンスレベルは低い。
ｂ: 複数の研究を統合できる。
ｃ: 出版バイアスは考慮しなくてよい。
ｄ: 無作為化比較対照試験と同義である。
ｅ: 研究者自身が対象集団に直接働きかけてデータを収集する。",b,【選択肢考察】ａ　エビデンスレベルは高い。ｂ　正しい。複数の研究から同じ疫学指標を抽出し、それをまとめた指標を算出することができる。研究を収集することで精度の向上も狙う。ｃ　収集元の研究が出版バイアスを受けている可能性がある。ｄ　無作為化比較対照試験とは異なる研究デザインである。ｅ　既存の研究を収集するデザインであるため、直接働きかけてデータを収集することはしない。,99%,メタ分析〈メタアナリシス〉について,
118E3,血液培養2セット中1セットのみが陽性の場合、起因菌ではなく常在菌の汚染菌〈コンタミネーション〉と解釈して治療しない場合があるのはどれか。,"ａ: Candida albicans
ｂ: Escherichia coli
ｃ: Pseudomonas aeruginosa
ｄ: Staphylococcus aureus
ｅ: Staphylococcus epidermidis",e,【選択肢考察】ａ　カンジダは消化管や膣内に存在する常在菌であるが、血中で陽性となった場合、治療対象となる。ｂ　大腸菌は腸内細菌であるが、血中で陽性となった場合、治療対象となる。ｃ　緑膿菌は免疫低下者に感染しやすく、院内感染の原因などになりやすい。血中で検出されたら治療対象。ｄ　黄色ブドウ球菌はカテーテル関連血流感染症などの原因菌となりやすい。血中で検出されたら治療対象。ｅ　正しい。表皮ブドウ球菌は皮膚の常在菌であり、採血時に混入することがある。,69%,常在菌の汚染菌〈コンタミネーション〉と解釈する場合,
118E4,Which is NOT the correct combination between the risk factor and its associated disease?,"ａ: smoking --------- bladder cancer
ｂ: lack of physical activity --------- colon cancer
ｃ: obesity after menopause --------- breast cancer
ｄ: excessive alcohol consumption --------- esophageal cancer
ｅ: excessive dietary sodium intake --------- lung cancer",e,【ポイント】【日本語訳】リスクファクターとその関連疾患について、正しくない組合せはどれか。【選択肢考察】ａ　喫煙は膀胱癌のリスクとなる。ｂ　運動不足は大腸癌のリスクとなる。ｃ　閉経後肥満は乳癌のリスクとなる。ｄ　アルコール過剰摂取は食道癌のリスクとなる。ｅ　誤り。食塩の過剰摂取と肺癌とは直接の関係がない。食塩の過剰摂取がリスクとなる癌として有名なのは胃癌である。,88%,リスクファクターと癌の組合せ（英語問題）,
118E5,終末期癌患者の死亡前3日以内の身体所見の変化で適切なのはどれか。,"ａ: 手足の熱感
ｂ: 尿量の増加
ｃ: 酸素飽和度の上昇
ｄ: 橈骨動脈の触知不良
ｅ: 毛細血管再充満時間の短縮",d,【選択肢考察】ａ　一般に低体温傾向となる。ｂ　尿量は減少する。ｃ　酸素飽和度は低下する。ｄ　正しい。橈骨動脈の拍動が減弱する。ｅ　毛細血管再充満時間は延長する。,97%,終末期癌患者の死亡3日以内の身体所見の変化,
118E6,最近10年間の我が国の患者調査において65歳以上で患者数（外来）が最も多いのはどれか。,"ａ: 糖尿病
ｂ: 緑内障
ｃ: 高血圧症
ｄ: 悪性新生物
ｅ: 脂質異常症",c,【ポイント】本稿執筆時点で公開されている最新の患者調査（2020年）のデータを示す（単位は「千人」）。【選択肢考察】ａ　1型糖尿病（2.1）、2型糖尿病（94.5）、その他の糖尿病（53.3）を合わせ、149.9。1型糖尿病に比べ、2型糖尿病の外来患者数がはるかに多いことを痛感するデータだ。ｂ　緑内障は46。ｃ　正しい。本態性高血圧〈原発性高血圧症〉（463）、高血圧性心疾患（2.3）、高血圧性腎疾患（0.4）、二次性高血圧症（0.7）を合わせ、466.4と最多。本態性高血圧の外来患者数が圧倒的に多い。ｄ　悪性新生物は118.2。ｅ　脂質異常症は102.7。,91%,患者調査において65歳以上で患者数（外来）が最も多い疾患,
118E7,座位の患者からの鼻咽頭ぬぐい液の採取手順で誤っているのはどれか。,"ａ: 個人防護具を着用する。
ｂ: 患者の側方に立つ。
ｃ: 患者の頭部が動かないよう支える。
ｄ: 綿棒を患者の鼻孔から上方に向けて挿入する。
ｅ: 咽頭後壁からぬぐい液を採取する。",d,【選択肢考察】ａ　マスクやガウンといった個人防護具を着用することで、感染防御を行う。ｂ　採取中に患者が咳嗽やくしゃみをする可能性もある。側方に立つことで、直撃を回避できる。ｃ　頭部を支えた状態で採取する。ｄ　誤り。綿棒を患者の鼻孔から耳介方向に向けて挿入する。ｅ　咽頭後壁に綿棒を当て、ぬぐい液を採取する。,63%,座位の患者からの鼻咽頭ぬぐい液の採取手順,
118E8,標準予防策が適用されている患者に対し、医療従事者がディスポーザブル手袋を着用せずに取り扱えるのはどれか。,"ａ: 患者の眼鏡
ｂ: 創部にあてたガーゼ
ｃ: 便が付着したオムツ
ｄ: 口腔ケアに用いたブラシ
ｅ: 喀痰が付着したティッシュペーパー",a,【ポイント】出会ったばかりの知らない人に「すみません取ってもらえませんか？」とお願いされたとき、素手で触っても抵抗が低いものを選べばよい。【選択肢考察】ａ　正しい。眼鏡を触る際は通常、ディスポーザブル手袋は必要ない。ｂ　血液等の付着が予想でき、ディスポーザブル手袋の着用が望まれる。ｃ　便が付着しており、ディスポーザブル手袋の着用が望まれる。ｄ　唾液等の付着が予想でき、ディスポーザブル手袋の着用が望まれる。ｅ　喀痰が付着しており、ディスポーザブル手袋の着用が望まれる。,100%,ディスポーザブル手袋を着用せずに取り扱える対象,
118E9,閉塞性黄疸に伴いやすい症状はどれか。,"ａ: 紫斑
ｂ: かゆみ
ｃ: 黒色便
ｄ: 立ちくらみ
ｅ: 肉眼的血尿",b,【選択肢考察】ａ　出血傾向の患者でみられやすい。ｂ　正しい。閉塞性黄疸の患者はかゆみを訴えることが多い。ｃ　上部消化管出血の患者でみられやすい。ｄ　高齢者や貧血、自律神経障害の患者でみられやすい。ｅ　膀胱癌や尿路結石の患者でみられやすい。,98%,閉塞性黄疸に伴いやすい症状,
118E10,ノーベル生理学・医学賞を受賞した日本人研究者と研究内容の組合せで正しいのはどれか。,"ａ: 大隅 良典 --------- 免疫チェックポイント阻害因子の発見
ｂ: 大村 智 --------- 抗体の多様性に関する遺伝的原理の発見
ｃ: 利根川 進 --------- 寄生虫感染症の治療法の発見
ｄ: 本庶 佑 --------- オートファジーの解明
ｅ: 山中 伸弥 --------- 多能性幹細胞〈iPS細胞〉の作製",e,【選択肢考察】ａ　大隅良典は「オートファジーの解明」との組合せが正しい（2016年受賞）。ｂ　大村智は「寄生虫感染症の治療法の発見」との組合せが正しい（2015年受賞）。ｃ　利根川進は「抗体の多様性に関する遺伝的原理の発見」との組合せが正しい（1987年受賞）。ｄ　本庶佑は「免疫チェックポイント阻害因子の発見」との組合せが正しい（2018年受賞）。ｅ　正しい。山中伸弥は多能性幹細胞〈iPS細胞〉の作製を行った（2012年受賞）。,98%,ノーベル生理学・医学賞を受賞した日本人研究者と研究内容の組合せ,
118E11,非感染性疾患で誤っているのはどれか。,"ａ: 遺伝要因は発症に関係する。
ｂ: 生活習慣は発症に関係する。
ｃ: 予防は健康日本21の目標である。
ｄ: がん、循環器疾患、糖尿病の総称である。
ｅ: 社会的な環境を踏まえた対策が必要である。",d,【ポイント】非感染性疾患〈NCDs〉の代表例である糖尿病をイメージすると解きやすいだろう。【選択肢考察】ａ　遺伝要因の関与がある。ｂ　生活習慣の関与がある。ｃ　『健康日本21』の項目に存在する。ｄ　誤り。ほかにもCOPDやメンタルヘルスが含まれる。ｅ　社会的な取り組みが必要となる疾患である。,93%,非感染性疾患〈NCDs〉について,
118E12,腰椎穿刺による脳脊髄液検査で正しいのはどれか。,"ａ: 患者を腹臥位にする。
ｂ: 滅菌手袋を着用して穿刺する。
ｃ: できるだけ太い穿刺針を用いる。
ｄ: 患者のL1とL2の椎間を穿刺する。
ｅ: 患者は脳脊髄液採取後に一定時間座位を保つようにする。",b,【選択肢考察】ａ　患者を側臥位にする。ｂ　正しい。穿刺時には滅菌手袋の着用が必須。ｃ　可能な範囲で細い穿刺針を用いた方が、手技後の合併症等減らすことができる。ｄ　L3とL4またはL4とL5の椎間を穿刺する。ｅ　患者は脳脊髄液採取後に一定時間臥位を保つようにする。,95%,腰椎穿刺による脳脊髄液検査について,
118E13,共同意思決定〈シェアードディシジョンメイキング〉の説明で正しいのはどれか。,"ａ: 医療者が最善と考えた方針を説明し同意を得る。
ｂ: 医療者が提供した選択肢から患者が選択する。
ｃ: 医療者と患者がともに最善の方法を探る。
ｄ: インフォームド・コンセントと同義である。
ｅ: 患者の経過が確実に予測できる場合に適している。",c,【選択肢考察】ａ　医療者だけでなく、患者も最善と考えた方針で進める。ｂ　医療者が提供したもの以外にも、患者にふさわしい選択肢があるかもしれない。ｃ　正しい。まさしく共同意思決定〈シェアードディシジョンメイキング〉である。ｄ　インフォームド・コンセントとは別概念である。ｅ　患者の経過が確実に予測できる場合はシェアードディシジョンメイキングなどと仰々しい表現を使わずとも、ゴールは明らかだろう。むしろ、複数のオプションがあり、患者の経過が予測しにくい場合に適している。,99%,共同意思決定〈シェアードディシジョンメイキング〉の説明,
118E14,主に湿性咳嗽をきたす疾患はどれか。,"ａ: 咳喘息
ｂ: 間質性肺炎
ｃ: 感染後咳嗽
ｄ: 胃食道逆流症
ｅ: 副鼻腔気管支症候群",e,【選択肢考察】ａ　主に乾性咳嗽をきたす。ｂ　主に乾性咳嗽をきたす。ｃ　約4割の者が選択してしまった。感染「時」咳嗽ではなく、感染「後」咳嗽である。「風邪は治ったはずなのに咳が続くな〜」という経験は人生で1度はあるだろう。主に乾性咳嗽をきたす。どうでもいい話だが、公の場で咳をしていると他者から白い目でみられるため、自分が風邪でないことを必死でアピールしようと「もう治ってます、咳だけなんです！」や「乾燥が強くて咳が出てるんです。風邪じゃないので安心してください！」などと訴えている者をよく目にする。が、湿性咳嗽であったらそれは完治していない可能性が高い。ｄ　主に乾性咳嗽をきたす。ｅ　正しい。慢性副鼻腔炎や慢性気管支炎をイメージすれば、後鼻漏や痰といったwetな環境にあることが分かるだろう。主に湿性咳嗽をきたす。,50%,湿性咳嗽をきたす疾患,
118E15,医師の職業倫理に反するのはどれか。,"ａ: 患者からのセカンドオピニオンの求めに応じる。
ｂ: 他の医師の不適切な医療行為に対して忠告する。
ｃ: 自身の業務に関係のない患者の電子カルテを閲覧する。
ｄ: 治験薬剤の適応に合致する患者に治験の情報を提供する。
ｅ: 判断能力のない患者の利益擁護者に病状や治療内容を説明する。",c,【選択肢考察】ａ　より良い医療を受けたい、選択したいという患者の希望に応じるのは医師の職務の1つである。ｂ　医師国家試験、ペーパーテスト的にはもちろん正しい記載だ。しかしながら、残念ながら世の中にはプライドばかり高く、人の意見に耳を貸さない医師も多い。こうした忠告をしたばかりに逆恨みされたり、当該医療機関における自身の居心地が悪くなるなど、良からぬトラブルの元凶ともなりかねない。かといって、不適切な医療行為を放置していては患者や周囲の医療者の不利益にもつながりかねない。自身の「正義」との格闘もあるだろう。難しいところである。ｃ　誤り。プライバシー保護の観点から望ましくない。ｄ　治験に限らず、患者に十分な情報を提供することは重要だ。ｅ　判断能力のない患者の場合、本人に代わって利益擁護者に病状や治療内容を説明することがある。,100%,医師の職業倫理に反する行為,
118E16,乳癌を疑う所見で誤っているのはどれか。,"ａ: 乳汁分泌
ｂ: 乳頭陥凹
ｃ: えくぼ徴候
ｄ: 橙皮様変化
ｅ: 大胸筋に固着した腫瘤",a,【選択肢考察】ａ　誤り。乳汁分泌は生理的（授乳婦）なことも、別の病態（例えば高プロラクチン血症）のこともあり、これをもって乳癌を疑うことはない。ｂ　乳頭直下の癌の存在によってみられる所見。ｃ　乳癌によりみられる皮膚の陥凹所見。ｄ　炎症性乳癌でみられる所見。ｅ　癌の筋浸潤を疑う所見。,81%,乳癌を疑う所見,
118E17,腎機能で正しいのはどれか。,"ａ: 腎血流量は加齢により増加する。
ｂ: 尿濃縮能は加齢により増加する。
ｃ: 糸球体濾過量〈GFR〉は妊娠中期に減少する。
ｄ: GFRが低下すると血清シスタチンCは減少する。
ｅ: 血清クレアチニンを用いた推算GFRは筋肉量に影響される。",e,【選択肢考察】ａ　腎血流量は加齢により減少する。ｂ　尿濃縮能は加齢により減少する。ｃ　糸球体濾過量〈GFR〉は妊娠中期に増加する。ｄ　GFRが低下すると血清シスタチンCは増加する。ｅ　正しい。血清クレアチニンは筋肉量に依存する。,99%,腎機能について,
118E18,患者に進行がんの告知をする際に適切なのはどれか。,"ａ: 家族は同席させない。
ｂ: 一度だけ説明すればよい。
ｃ: 患者の解釈モデルは聴取しない。
ｄ: 患者の理解度にかかわらず手短に説明する。
ｅ: 悪い知らせを聞く意思があるかどうかを患者本人に確認する。",e,【選択肢考察】ａ　患者本人が拒否している、といったケースを除き、極力家族も同席してもらう。ｂ　本人の理解に応じ、必要があれば複数回説明する。ｃ　患者の解釈モデルについても聴取する。ｄ　患者の理解度を確認しつつ、最適と考えられる説明を行う。ｅ　正しい。SPIKESモデルのInvitationに該当する。,100%,患者に進行がんの告知をする際の注意点,
118E19,パニック障害〈パニック症〉の症状はどれか。,"ａ: 健忘
ｂ: 無為
ｃ: 観念奔逸
ｄ: 予期不安
ｅ: フラッシュバック",d,【選択肢考察】ａ　認知症や解離性障害でみられる。ｂ　統合失調症でみられる。ｃ　躁状態でみられる。ｄ　正しい。パニック障害でみられる。ｅ　心的外傷後ストレス障害〈PTSD〉でみられる。,97%,パニック障害〈パニック症〉の症状,
118E20,身体診察で正しいのはどれか。,"ａ: 呼吸数測定は5秒間行う。
ｂ: 血圧測定は患者が会話中に行う。
ｃ: 上肢近位筋の筋力測定は握力計で行う。
ｄ: 内頸静脈での中心静脈圧推定は臥位で行う。
ｅ: 固定姿勢保持困難〈asterixis〉は上肢を前方に水平挙上させて観察する。",e,【選択肢考察】ａ　1分間測定するか、30秒間測定したものを2倍するのが一般的。ｂ　会話により血圧変動が起こる。おしゃべりはしない状態で測定する。ｃ　握力の出力元の多くを占めるのは前腕屈筋群（上肢で言うなら遠位筋）である。ｄ　上体を仰臥位から45度挙上した姿勢で行う。ｅ　正しい。肝性脳症患者などで不随意運動が誘発される。,89%,身体診察について,
118E21,写真（A〜E）を別に示す。肛門直腸の診察に用いる器具はどれか。,"ａ: A
ｂ: B
ｃ: C
ｄ: D
ｅ: E",a,【選択肢考察】ａ　正しい。Aは肛門鏡である。ｂ　Bはバイトブロックである。ｃ　Cは開創器である。ｄ　Dは開口器である。ｅ　Eはマギール鉗子である。,76%,肛門直腸の診察に用いる器具,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/4147/118E-21.jpg
118E22,死亡診断書で正しいのはどれか。,"ａ: 解剖所見は記載できない。
ｂ: 歯科医師は発行できない。
ｃ: 主治医以外は記載できない。
ｄ: 医師が署名しなければならない。
ｅ: 保健所に届け出なければならない。",d,【選択肢考察】ａ　解剖所見の記載欄がある。ｂ　歯科医師も発行可（死体検案書は不可）。ｃ　主治医以外が実際に死亡に立ち会った場合など、主治医以外が作成することもある。ｄ　△。歯科医師が発行した場合、歯科医師の署名でよい。つまり、場合によって医師の署名は必須ではない。他選択肢に「歯科医師」と記載がある以上、「（歯科）医師」のように総称としてみなすことも難しく、この点から判断に悩んだ受験生も多いようだ（必修問題で正答率76％はかなり低い）。正しくは、「死亡診断書を発行する医師または歯科医師が署名しなければならない」である（むろんこのような選択肢にしてしまうと、今度は「歯科医師は発行できない」という選択肢がナンセンスになってしまうため、出題の上での苦悩もあったと思われる）。他により適切な選択肢もない以上、これを正解とする。ｅ　家族が市町村等に届け出る。,76%,死亡診断書について,
118E23,窒息後に意識を消失して倒れた人に対し、まず行うべき対応はどれか。,"ａ: 胸骨圧迫
ｂ: 背部叩打
ｃ: 腹部突き上げ
ｄ: 口対口人工呼吸
ｅ: 口腔内異物除去",a,【ポイント】意識消失しているため、異物の除去よりも、心肺蘇生することが優先される。ゆえに胸骨圧迫が正しい。,59%,窒息後に意識を消失して倒れた人にまず行うべき対応,
118E24,健康成人の総エネルギー摂取量に占める栄養素の割合で、日本人の食事摂取基準の目標値の範囲にある組合せはどれか。,"ａ: 炭水化物35％、蛋白質35％、脂質30％
ｂ: 炭水化物35％、蛋白質15％、脂質50％
ｃ: 炭水化物55％、蛋白質35％、脂質10％
ｄ: 炭水化物55％、蛋白質15％、脂質30％
ｅ: 炭水化物75％、蛋白質15％、脂質10％",d,【ポイント】目標値は炭水化物が50〜65％、蛋白質が13〜20％、脂質が20〜30％。一般に「◯◯〜△△」といった変域の形で覚えるのは大変なので、medu4ではこれまでの国試過去問に照らし、炭水化物：蛋白質：脂質＝60：15：25で覚えるよう推奨している。,85%,健康成人の総エネルギー摂取量に占める栄養素の割合,
118E25,ショックと症候の組合せで誤っているのはどれか。,"ａ: 出血性ショック --------- 頻脈
ｂ: 心原性ショック --------- 乏尿
ｃ: 神経原性ショック --------- 徐脈
ｄ: 敗血症性ショック --------- 蕁麻疹
ｅ: アナフィラキシーショック --------- 喉頭浮腫",d,【選択肢考察】ａ　神経原性以外のショックでは一般に頻脈となる。ｂ　心原性ショックでは腎血流も低下し、乏尿をみる。ｃ　神経原性ショックでは交感神経が障害され、血圧低下にもかかわらず徐脈をみる。ｄ　誤り。蕁麻疹はアナフィラキシーショックとの組合せが適切である。ｅ　アナフィラキシーショックでは 喉頭浮腫がみられ、窒息が怖い。,99%,ショックと症候の組合せ,
118E26,"36歳の男性。定期健康診断で高血圧を指摘され来院した。喫煙歴はない。飲酒は機会飲酒。父親が高血圧症で治療中。身長168cm、体重60kg、腹囲77cm。脈拍76/分、整。血圧144/78mmHg。尿所見：蛋白（－）、糖（－）。血液生化学所見：空腹時血糖99mg/dL、尿酸6.8mg/dL、総コレステロール170mg/dL、トリグリセリド70mg/dL、HDLコレステロール58mg/dL。心電図に異常を認めない。管理栄養士が本人から聴取した食事内容から、摂取エネルギー量1,900kcal/日、塩分摂取量15g/日と推定した。適切な指示はどれか。","ａ: 減塩
ｂ: 禁酒
ｃ: 体重の減量
ｄ: 脂肪摂取制限
ｅ: プリン体摂取制限",a,【ポイント】本文と選択肢とを照らし合わせ、高血圧患者に対する指示を考える。【選択肢考察】ａ　正しい。「塩分摂取量15g/日」は多すぎる（高血圧患者は6g/日未満が目標）ため、減塩指導を行いたい。ｂ　「飲酒は機会飲酒」とあり、禁酒は必要ない。ｃ　「身長168cm、体重60kg」よりBMIは21.3程度。減量は必要ない。ｄ　総コレステロール、トリグリセリド、HDLコレステロール、すべて基準値内である。脂肪摂取制限は必要ない。ｅ　「尿酸6.8mg/dL」と基準値内にあるため、プリン体摂取制限は必要ない。,100%,高血圧症の患者に適切な指示,
118E27,11歳の男児。下腹部痛を主訴に学校の先生に連れられて来院した。午後から急に下腹部痛が出現し、徐々に増強して我慢できなくなったため受診した。体温36.8℃。脈拍108/分、整。血圧118/62mmHg。呼吸数18/分。SpO2 99％（room air）。心音と呼吸音とに異常を認めない。腹部は平坦で、下腹部に軽度の圧痛を認めるが、筋性防御および反跳痛は認めない。肝・脾を触知しない。腸雑音に異常を認めない。鼠径部に腫瘤を触れない。左陰嚢は右陰嚢に比較して腫大し、透光性は無く、軽度の発赤と著明な圧痛を認める。カラードプラ陰嚢部超音波検査で左精巣実質内の血流信号が乏しい所見が認められた。診断はどれか。,"ａ: 精巣腫瘍
ｂ: 精巣水瘤
ｃ: 精索静脈瘤
ｄ: 精巣捻転症
ｅ: 鼠径ヘルニア",d,【ポイント】11歳男児にみられた急性腹症。左陰嚢が腫大し、軽度の発赤と著明な圧痛を認めていることから精巣のトラブルを考える。カラードプラ陰嚢部超音波検査で左精巣実質内の血流信号欠乏があることから、精巣捻転症の診断となる。【選択肢考察】ａ　通常、精巣腫瘍は無痛性である。ｂ　「透光性は無く」という記載から否定的。ｃ　カラードプラ陰嚢部超音波検査で静脈瘤が描出される（血液の乱流をみる）。ｄ　正しい。上記の通り。ｅ　「鼠径部に腫瘤を触れない」という記載から否定的。,98%,精巣捻転症の診断,
118E28,"An ambulance brought a 28-year-old man to the emergency room.  He was found on the street unconscious.In his wallet, he had a memo stating, ""I have thrombocytopenia from aplastic anemia.  If l pass out, please obtain a CT scan to rule out intracranial hemorrhage immediately.  Thank you in advance.""Which test should you order next?","ａ: head CT
ｂ: brain MRI
ｃ: serum alcohol level
ｄ: serum ammonia level
ｅ: electroencephalogram",a,【ポイント】昨今、外国人観光客が増え、さまざまな場所で見かけるようになった。こうした時代に合致したシチュエーションに思う。蛇足ながら、礼節を重んじる日本人が英文メールなどで頻回に使ってしまいがちな表現に Thank you in advance. がある。我々の感覚だと「なにか相手にお願い事をするのは申し訳ないので、少しでも事前にお礼を言っておきたい」となるのだが、受け手によっては「お礼前提のお願い、つまり当然やってくれるよね？ あなたに断る余地はないよ」的な押し付けがましい印象を持つことがある。完全に文化や考え方の違いから生じる誤解なのであるが、ただでさえ誤解を生じやすい異言語コミュニケーションにさらなるリスクを忍ばせる必要はないため、筆者はこの表現を一切使わないこととしている。【日本語訳】28歳の男性が救急車で救急外来に搬送された。路上で意識を失っているところを発見された。財布の中にメモがあり、「私には再生不良性貧血〈AA〉による血小板減少があります。もし私が気を失っていたら、頭蓋内出血を除外すべく早急にCTスキャンをお願いします。よろしくお願いします」と記載されていた。次に行うべき検査はどれか。【選択肢考察】ａ　正しい。指示通り、頭部CTを実行する。ｂ　脳MRIは指示から外れる。そもそも、頭蓋内出血の検出にはCTの方が優れる。ｃ　血清アルコール濃度。指示から外れる。ｄ　血清アンモニア濃度。指示から外れる。ｅ　脳波。指示から外れる。,88%,意識障害患者の所持していた英文メモの読解（英語問題）,
118E29,5歳の男児。発熱と耳痛を主訴に両親に連れられて来院した。2日前から鼻水があった。昨日から左耳痛と発熱が出現したため外来受診した。体温37.5℃。左の鼓膜所見を別に示す。適切な治療はどれか。,"ａ: 耳洗浄
ｂ: 耳管通気
ｃ: 抗菌薬投与
ｄ: 鼓室形成術
ｅ: 鼓膜チューブ挿入術",c,【ポイント】幼児にみられた発熱と耳痛。鼓膜写真にて発赤がみられるため、急性中耳炎の診断となる。【選択肢考察】ａ　穿孔した慢性中耳炎などで考慮される。ｂ　滲出性中耳炎に有効。ｃ　正しい。細菌感染が疑われるため、抗菌薬を投与する。ｄ　慢性中耳炎や真珠腫性中耳炎に有効。ｅ　滲出性中耳炎に有効。,89%,急性中耳炎の治療,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/4148/118E-29.jpg
